############初赛数据复赛数据全量pretrain,bert(lr:5e-5, epoch:100, 对偶)###################################
{'loss': 3.9068, 'learning_rate': 4.9750035551763366e-05, 'epoch': 1.0}
{'loss': 0.9098, 'learning_rate': 1.7009385665529012e-05, 'epoch': 65.98}
{'loss': 0.9031, 'learning_rate': 1.6509527872582482e-05, 'epoch': 66.98}
{'loss': 0.8945, 'learning_rate': 1.600967007963595e-05, 'epoch': 67.98}
{'loss': 0.8894, 'learning_rate': 1.5509812286689422e-05, 'epoch': 68.98}
{'loss': 0.8832, 'learning_rate': 1.5009954493742889e-05, 'epoch': 69.98}
{'loss': 0.873, 'learning_rate': 1.451009670079636e-05, 'epoch': 70.98}
{'loss': 0.862, 'learning_rate': 1.4010238907849829e-05, 'epoch': 71.98}
{'loss': 0.8624, 'learning_rate': 1.35103811149033e-05, 'epoch': 72.98}
{'loss': 0.8521, 'learning_rate': 1.3010523321956769e-05, 'epoch': 73.98}
{'loss': 0.8488, 'learning_rate': 1.251066552901024e-05, 'epoch': 74.98}
{'loss': 0.8395, 'learning_rate': 1.2010807736063709e-05, 'epoch': 75.98}
{'loss': 0.8346, 'learning_rate': 1.151094994311718e-05, 'epoch': 76.98}
{'loss': 0.8312, 'learning_rate': 1.101109215017065e-05, 'epoch': 77.98}
{'loss': 0.8185, 'learning_rate': 1.051123435722412e-05, 'epoch': 78.98}
{'loss': 0.8181, 'learning_rate': 1.001137656427759e-05, 'epoch': 79.98}
{'loss': 0.8108, 'learning_rate': 9.51151877133106e-06, 'epoch': 80.98}
{'loss': 0.8058, 'learning_rate': 9.011660978384528e-06, 'epoch': 81.98}
{'loss': 0.8001, 'learning_rate': 8.511803185437998e-06, 'epoch': 82.98}
{'loss': 0.7925, 'learning_rate': 8.011945392491468e-06, 'epoch': 83.98}
{'loss': 0.7915, 'learning_rate': 7.512087599544939e-06, 'epoch': 84.98}
{'loss': 0.7837, 'learning_rate': 7.012229806598408e-06, 'epoch': 85.98}
{'loss': 0.7843, 'learning_rate': 6.512372013651877e-06, 'epoch': 86.98}
{'loss': 0.7762, 'learning_rate': 6.012514220705347e-06, 'epoch': 87.97}
{'loss': 0.7702, 'learning_rate': 5.512656427758817e-06, 'epoch': 88.97}
{'loss': 0.7698, 'learning_rate': 5.012798634812287e-06, 'epoch': 89.97}
{'loss': 0.7659, 'learning_rate': 4.5129408418657564e-06, 'epoch': 90.97}
{'loss': 0.7569, 'learning_rate': 4.0130830489192265e-06, 'epoch': 91.97}
{'loss': 0.7559, 'learning_rate': 3.5132252559726965e-06, 'epoch': 92.97}
{'loss': 0.752, 'learning_rate': 3.013367463026166e-06, 'epoch': 93.97}
{'loss': 0.7486, 'learning_rate': 2.5135096700796362e-06, 'epoch': 94.97}
{'loss': 0.7467, 'learning_rate': 2.013651877133106e-06, 'epoch': 95.97}
{'loss': 0.7469, 'learning_rate': 1.5137940841865757e-06, 'epoch': 96.97}
{'loss': 0.7406, 'learning_rate': 1.0139362912400455e-06, 'epoch': 97.97}
{'loss': 0.7381, 'learning_rate': 5.140784982935154e-07, 'epoch': 98.97}
{'loss': 0.7376, 'learning_rate': 1.4220705346985211e-08, 'epoch': 99.97}
{'train_runtime': 80322.6983, 'train_samples_per_second': 4.377, 'total_flos': 8.511848301790746e+17, 'epoch': 100.0}
